,test_subject,window_size,cnn_kernel_size,cnn_layers,cnn_activation,cnn_output_size,dense_activation,dense_layers,optim_loss,optim_lr,optim_optimizer,training_epochs,training_batch_size,left_validation_rmse,right_validation_rmse
60,AB1,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
61,AB2,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
62,AB3,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
63,AB4,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
64,AB5,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
65,AB6,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
66,AB7,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
67,AB8,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
68,AB9,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
69,AB10,100,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
70,AB1,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,16.99915198770115,16.792513381997605
71,AB2,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,18.36846190139332,17.314760792885398
72,AB3,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,21.796058148619426,20.644958191798764
73,AB4,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,17.478866094213377,17.19490731408699
74,AB5,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,17.09470514494998,16.829019801707123
