,window_size,model_type,cnn_kernel_size,cnn_layers,cnn_activation,cnn_output_size,dense_activation,dense_layers,optim_loss,optim_lr,optim_optimizer,training_epochs,training_batch_size,left_rmse_mean,right_rmse_mean
31,120,cnn,10,3,relu,3,sigmoid,"(1, 30)",mean_absolute_error,0.01,adam,200,128,24.293063786616816,24.410350162420535
32,100,cnn,20,3,relu,1,sigmoid,"(0, 1)",mean_absolute_error,0.0001,adagrad,200,128,23.033559364490493,22.963172167903203
33,80,cnn,10,2,relu,3,relu,"(2, 20)",mean_absolute_error,0.1,adagrad,200,128,17.211332903797693,17.381333134564805
34,100,cnn,20,2,relu,3,tanh,"(2, 30)",mean_absolute_error,0.01,rmsprop,200,128,9.484137553809655,9.413834581942313
35,120,cnn,30,2,sigmoid,1,sigmoid,"(0, 1)",mean_absolute_error,0.001,adagrad,200,128,23.739636243678408,22.829826688508064
36,80,cnn,20,4,tanh,1,tanh,"(1, 20)",mean_absolute_error,0.001,sgd,200,128,8.015518584773883,8.091874408228525
37,120,cnn,10,4,relu,3,tanh,"(1, 30)",mean_absolute_error,0.0001,sgd,200,128,8.025400012416851,10.823412312730671
38,100,cnn,30,2,relu,1,tanh,"(2, 30)",mean_absolute_error,0.0001,adagrad,200,128,8.08975856714455,8.091652696213371
39,120,cnn,10,2,tanh,5,tanh,"(1, 20)",mean_absolute_error,0.001,adam,200,128,6.8545152117745545,7.189175099338222
40,120,cnn,30,3,relu,5,sigmoid,"(2, 10)",mean_absolute_error,0.01,adam,200,128,26.646493218089034,25.54846282901651
41,100,cnn,10,4,tanh,1,relu,"(2, 30)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
42,80,cnn,10,2,tanh,5,tanh,"(1, 30)",mean_absolute_error,0.001,adam,200,128,7.115860435909693,7.574880311647351
43,80,cnn,20,2,relu,3,tanh,"(1, 20)",mean_absolute_error,0.0001,adam,200,128,7.3697140366163225,7.522567702313397
44,100,cnn,10,4,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.1,sgd,200,128,7.271965304786228,7.539345704868063
45,100,cnn,10,2,relu,5,sigmoid,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,19.68732634166895,18.702287951650238
46,80,cnn,10,2,relu,1,relu,"(0, 1)",mean_absolute_error,0.1,adagrad,200,128,17.659775969850465,17.52516948959889
47,80,cnn,20,3,relu,1,tanh,"(2, 30)",mean_absolute_error,0.01,sgd,200,128,7.456294621755258,7.565576125920652
48,120,cnn,30,3,tanh,3,tanh,"(2, 30)",mean_absolute_error,0.1,adagrad,200,128,7.587508673099881,7.803206383710425
49,80,cnn,20,3,tanh,5,relu,"(0, 1)",mean_absolute_error,0.001,adagrad,200,128,17.816496430905936,17.731586748030345
